آئروژینوزا 33,33,33,33,33,33,33,33,33,33
سلامتی 11,11,11,14,14,16,16,17,17,24,24,26,26,28,31,31,31,31,4,4,53,53,53,53,53,53,53,57,9
سلسیوس 17
سلطان 21
سلطنتی 15
سلفو 8
سلول 10,10,10,10,10,10,10,12,16,20,20,20,28,28,28,30
سلولی 12,12,14,28,28,28,28,28,33
سمنان 25
سموم 14,14,33,44
سمپاشی 11
سمیت 23
سنای 50
سنباده 41,41
سنبله 9,9
سنتز 16,23,33,33
سنتی 11,12,15,15,15,15,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2,24,49
سنجش 27,28,28,28,28,28
سنجو 18
سنجی 1
سندرم 28,28,28,28,28,28,54
سندی 21
سنسورهای 41
سنندج 25
سنوات 53
سنگ_پا 32
سنگفرشی 10,12
سنگی 15,21
سنگین 16,25,30,41,8
سنین 16,16,28,28,28,28,28,31,31,35,54,57
سهولت 21
سوءتغذیه 16,16,16,16,16,16,24
سوءجذب 7
سوءهاضمه 16,16
سوئد 25,28,8
سوئدی 25
سوئی 1
سوئیسی 58
سوادآموزی 11
سوارکاران 54
سوارکاری 25
سواری 31
سوالات 28,53
سواک 41
سوخت 16,16,16,16,28,39,39,39
سوختن 21
سوخته 53
سوختِ 21
سوختگی 33,53,54,54,54
سوختی 21
سودمند 58,58,58
سودمندی 18
سودوموناس 33,33,33,33,33,33,33
سودوموناس_آئروژینوزا 33
سودوموناسی 33
سوراخ 17,28,57,57,57
سوربیتول 23,28,28
سوزان 17,18,26,28,34,6
سوزاندن 24
سوزش 23
سوزن 28,30,30
سوزنی 58
سوسک 20,20
سولاب 17,18,26,34,6,6
سولفات 23
سولفونامید 53
سولفید 33
سولفیدریل 30
سومند 58
سومین 53,58
سونا 56
سونوگرافی 42
سوپر 18
سوکروز 28
سوگیری 28
سویه 33
سپاه 50,50
سپتامبر 15,15,18,18,19,30,45,56,7
سپهبدی 25
سکته 28,28,28,28,28,28,28
سکوت 28
سکون 47
سکونت 18,3
سکوهایی 21
سیاتیکی 32
سیاح 27,27,27,27,27
سیار 17,18,26,34,53,6
سیاست 50,53,57
سیاستمداران 53
سیاسی 11,31,50,50,50,50,50,50,53
سیاه 18,28,38,54,54,58
سیاوش 60
سیترات 33
سیتریک 16
سیتی 57
سیخی 24
سیرتی 53
سیرچ 56,56
سیری 16,28
سیزدهم 25
سیستم 15,18,18,20,20,20,23,26,26,26,28,28,28,28,33,33,33,33,35,35,44,44,44,53,53,53,53,53,53,53,53,53,53
سیستماتیک 53,53
سیستمیک 33,42
سیستیک 33
سیفلیس 57
سیفون 18,18,18,18
سیفون_توالت 34
سیفونه 17,18,26,34,6
سیفونی 18
سیله 30
سیلک 53
سیلین 53
سیما 11,16,53
سیمای 18,18
سیمهای 30
سیمولیوم 20
سینه 20,20,20,20,20,20,38
سینک 18,33,33
سینی 33
سیپروفلوکساسین 33
سیگار 14,14,14,14,14,14,14,14,14,14,28
سیگارکشیدن 28
سیگاری 14
سیگنالینگ 28
شاخص 1,28,28,28,40,40
شاخصه 28,28
شاخه 20,20,20,35,35,35,53
شاخهٔ 23
شاعران 55,55
شاغل 25,49,49
شامل 11,11,12,14,15,15,15,16,16,16,2,20,20,20,20,21,23,23,25,25,25,25,25,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,30,31,31,31,31,35,35,35,35,35,42,42,43,44,45,48,49,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,56,56,57,58,6,7,7,7,9
شانزدهم 57
شانس 28,31
شانه 59
شاهد 27,28,53,56
شاهزاده 18,18,18,18
شاپور 21,21,21,53,53
شاگرد 27
شاگردانش 15
شایان 11,35
شایانی 32,58
شاید 18,23,28,31,46,58
شایع 10,28,28,28,28,28,28,28,28,28,28,28,33,46,53,56
شبستر 25
شبکه 18,25,25,25,42,42,49,49,53,53,8
شبکهٔ 27
شبکیه 20,20,28,28
شبیه 18,18,18,20,28,28,28,54
شترگلویی 41
شخصی 15,18,18,19,21,28,28,49,50,57,6
شخصیت 13,38,38,55,55,7
شدند 21,28,42,8
شدهاند 23
شدهٔ 57
شدید 10,16,28,28,28,28,28,28,28,28,28,28,28,28,30,31,32,33,33,39,44,50,54,60,7
شدیداً 16,36
شدیدتر 17,28,31
شراب 10
شرایط 1,1,11,11,16,18,2,23,25,28,30,31,31,42,54,57,58,58,60,7,7,8
شرایطِ 13
شرایطی 28
شربت 28
شرقی 34,58,58
شرمسار 18
شروع 18,20,28,28,34,46,53,53,53,53,53,53,54,57,57,57,60,9
شرکای 57
شرکت 17,18,18,18,18,18,18,18,18,18,18,18,18,23,23,23,23,23,23,23,24,28,54,57,57,57,57,57,57,57,57,57,57,57,58
شرکتی 52,52,52
شریان 28
شریانی 28
شریک 31,31,57,57,57
شستشو 21,54
شستشوی 21,41,9
شستن 11,18,18,18,18,18,21,24,30,34,49,49,54,9
شسته 30,47
شعار 25
شعاری 25
شعبه 25,25
شعرخوانی 21
شعله 30,30
شغلی 12,19,5,5
شفاف 20,20,52
شفافیت 53,53
شفافیتی 53
شفیلد 23,23,23,23
شلغم 44
شلوار 18
شلوغ 18
شلوغی 15,17,27,53
شمار 17,2,43,44
شماره 28,55
شمارهٔ 60
شماری 7
شمال 21,25,32,58,60
شمالی 60
شمرده 21,24,24,28,41,49
شمسی 43,58
شمشیر 8
شناخت 20,20,25,27,31,53,53,53,53,57,7
شناخته 11,11,11,13,18,25,28,28,28,28,28,28,31,36,36,53,53,53,53,53,53,53,53,53,55,57,57,57,58,7,7,7,7
شناختی 11,13,13,13,13,28,31,31,5
شناس 35
شناسان 35,35,35,35,35,35
شناساندن 35
شناسایی 11,15,28,33,33,35,35,53,57
شناسی 15,15,15,16,21,25,25,25,33,53,53,53,53
شناور 34
شنبلیله 28
شنبه 25,25
شنوا 35,35
شنوایان 35
شنوایی 20,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,41,53
شنواییشناسی 35
شنیداری 35
شنیده 18,18
شهرستان 25,56
شهرنشینی 28
شهرهای 1,1,11,13,18,18,21,21,50,58
شهرهایی 57
شهروند 60
شهرکرد 25,25
شهری 18,50,50,50,57,58,58,58,58,58,60
شهریار 27
شهریور 27,28
شهید 28,28,28,28,49,49
شواهد 28,28,28,28,60
شواهدی 15,15,15,28,46,53
شورای 11,12,16,22,24,25,25,25,25,28,30,35,42,43,43,43,43,43,43,43,48,49,52,53,58,60,8,9
شوند 15,16,17,24,28,28,31,33,46,53,53,53,57,7,8,8,9,9
شوهر 49,49
شوکه 18
شوید 1,1,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,2,2,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,3,3,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,4,4,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,5,5,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,6,6,60,60,7,7,8,8,9,9,9
شوینده 23,23,30
شویه 9
شکارچی 25
شکاف 17,44
شکایت 15,53,53
شکستن 58,58,58,58,58,9,9
شکسته 16
شکستگی 17
شکلی 39,53
شکمی 20,44,7
شکننده 57
شکوفا 53
شکیل 18
شیاطین 13
شیرآلات 33,51
شیراز 21,25,25,52,52,52,52
شیرخواران 28
شیرخوارگی 6
شیردهی 57
شیره 16
شیرین 10,15,23,23,23,23,23,28,28,28
شیرینی 16,28
شیشه 32,54
شیمی 16,16
شیمیایی 1,11,16,17,18,26,28,28,28,30,30,30,30,34,56,57,57,6,9
شیمیدان 15
شیوع 11,16,25,28,28,28,28,28,28,28,28,28,28,28,53,53,57,7
شیون 17
شیوه 19,41,46,53,53,58
شیوهٔ 11,13,24
صابون 18,18,30
صاحب 15
صاحبنظران 28
صادارت 25
صادر 28
صادرکننده 60
صادق 53
صافی 30,30,30
صالح 58
صبحِ 18
صبحگاهی 9
صبور 15,18
صبوری 49,49
صحبت 31
صحیح 11,11,16,28,31,35,41,41,41,46,56,57
صدام 60
صدای 18,18,18,18,18,18,18,18
صدایی 18
صدری 44
صدمات 15
صدماتی 44
صدمه 28,28,57
صدور 53,53,53
صدوقی 28,28,28,28
صرعی 13
صرفاً 11
صعودی 7
صغیر 53,53
صفات 28
صفاقی 7
صفجه 1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,7,8,9
صفحه 1,1,1,1,10,10,10,10,10,10,11,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,2,2,2,2,20,20,20,20,20,20,20,21,21,21,21,21,22,22,22,22,22,23,23,23,23,24,24,24,24,25,25,25,25,25,26,26,26,26,26,27,27,27,27,27,28,28,28,28,28,29,29,29,29,29,3,3,3,3,30,30,30,30,31,31,31,31,31,32,32,32,32,32,32,33,33,33,33,33,33,34,34,34,34,34,35,35,35,35,36,36,36,36,36,37,37,37,37,38,38,38,38,38,39,39,39,39,39,4,4,4,4,4,4,40,40,40,40,41,41,41,41,41,41,42,42,42,42,43,43,43,43,43,44,44,44,44,44,44,45,45,45,45,45,45,46,46,46,46,46,46,47,47,47,47,47,48,48,48,48,48,48,49,49,49,49,49,5,5,5,5,5,5,50,50,50,50,50,51,51,51,51,51,52,52,52,52,52,53,53,53,53,53,54,54,54,54,54,54,55,55,55,55,55,55,56,56,56,56,56,56,57,57,57,57,57,58,58,58,58,58,59,59,59,59,59,6,6,6,6,60,60,60,60,60,60,7,7,7,7,8,8,8,8,8,9,9,9,9,9
صفحهٔ 1,1,10,10,10,11,11,12,12,12,13,13,13,14,14,15,15,15,16,16,17,17,17,17,17,18,18,18,18,18,19,19,19,2,2,2,20,20,20,21,21,21,22,22,22,23,23,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,3,3,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,36,36,37,37,37,38,38,38,39,39,39,4,4,4,40,40,41,41,41,42,42,43,43,43,44,44,44,45,45,45,46,46,46,46,47,47,47,48,48,48,49,49,49,5,5,5,50,50,50,51,51,51,52,52,52,53,53,53,54,54,54,55,55,55,56,56,56,57,57,57,58,58,58,59,59,59,6,6,60,60,60,7,7,8,8,8,9,9,9
صفرا 7,7,7,7
صفراوی 16,26,7,7,7,7
صفّه 21
صلاح 28
صلاحدید 42
صلاحیت 53,53,53,53
صلحی 49
صنایع 16,16,53,56
صندلی 18,18,18,18,18,18,18,27
صنعت 32,8
صنعتی 11,16,16,25,34,35,35,38,41,49,50,53,53,53,58,58,58
صنفی 25,25,25,25,25,25,52
صوتی 35,43,58
صورت 1,1,10,10,10,10,10,11,11,11,11,12,13,14,15,15,16,16,16,16,16,17,17,17,17,18,18,18,18,19,19,2,20,20,20,21,21,21,22,23,23,23,24,24,24,25,25,25,25,25,26,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,3,30,30,30,31,31,31,32,32,33,34,34,35,35,36,37,38,39,4,40,41,42,42,43,44,44,44,45,46,46,46,46,46,46,47,48,49,5,50,51,51,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,55,56,56,57,57,57,57,57,57,57,57,57,57,57,57,58,58,59,6,6,6,6,6,60,7,7,8,8,8,9,9
صورتشان 18
صورتی 16,17,18,28,38,46,46
ضامن 16,34,34
ضایعات 10,10,10,28,28,35,58,58
ضایعه 10,28,35,43
ضخامت 42
ضخیم 57
ضدآفتاب 31
ضدبارداری 57,57
ضدزنگ 18
ضدعفونی 23,30,30,30,30,30,36,36,36,36
ضدعفونیسازی_خورشیدی_آب 36
ضدفشار 28
ضدّعفونی 30,30,30
ضربان 7
ضربه 13,46,57
ضررهای 28
ضرورت 11,25
ضروری 16,16,16,16,17,3,53,57,57,57,58,7
ضریب 30,42
ضعیف 15,18,18,28,28,54,7
ضعیفتری 53
ضمائم 20
ضمنی 28
ضمیمه 25,57
ضوابط 28
طاعون 15,16,25,25,25
طاهرخانی 25
طبابت 53,53,53
طبایع 53
طبقات 58
طبقه 53,8
طبقهٔ 5,5
طبیعت 15,49,58
طبیعتاً 15
طبیعی 1,1,11,12,12,15,15,16,16,16,16,17,21,23,24,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,41,44,51,52,56,56,58,58,6,7,7,7,8,8,8,8,8,8,8,9
طحال 7,7
طراح 15,17
طراحی 17,17,17,17,17,17,21,3,3,35,35,53,58,8
طرفدار 50
طرفداران 18
طرفی 16,28,53,53
طرفین 20,20,20,52
طریق 13,17,18,18,18,18,18,18,18,18,20,20,20,21,21,21,28,28,28,30,53,53,57,57,58,6,7
طریقه 46
طلایه 53
طلایی 38,50,57
طهارت 11
طوری 17,27,54,57,59,8,8,8,8
طولانی 1,10,15,16,57,58,7
طویل 20
ظاهر 28,31
ظاهراً 28
ظاهری 12,47,53,58,58
ظرفشویی 49
ظرفی 30
ظرفیت 6
ظروف 17,23
ظهور 56,57
عابران 18
عابری 15
عادت 49
عادی 28,35
عارضه 28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,44,53
عارضهٔ 28,28
عاری 30
عاطفی 13,31,31
عاقلانه 18
عالی 27,27,35,50,52,52,52
عامل 12,12,16,16,16,20,20,20,23,23,28,28,31,37,44,60,7,7,7,9
عامل_ریسک_ 37
عامه 21,50
عامیانه 56,57
عبارت 1,10,11,11,11,12,13,14,15,16,17,18,19,2,20,21,22,23,23,24,25,26,27,27,28,28,28,29,3,30,30,31,31,31,32,33,34,35,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,6,60,7,8,9
عبارتند 13,16,28,28,28,30,30,35,46,53,53
عبارتی 27,28,53
عبری 15
عبور 10,18,18,25,28,28,28,30,30,30,46,6
عثمانی 21
عدالت 53,53
عدددر 20
عدسیه 20,20,20
عراق 60,60,60,60,60,60,60,60,60
عراقی 23
عربستان 24,60,60
عربی 17,22,41,53
عربیِ 17
عرصه 49,57
عرضه 18,18,23,23,23,23,23,42,55
عرقیات 28
عروس 21
عروق 28,28,28,28,28,53,53,7,7,7
عروقی 10,28,28,28,28,28,28,28,28,28,28,28,31,37,7,7
عریض 57
عصای 53
عصبانیت 31
عصبی 10,13,13,13,13,20,23,26,26,28,28,28,28,28,28,28,28,35,44,44,44,6,6
عضلات 28
عضلانی 16,16,23,23,44,44,44
عضله 28,6
عضلهٔ 18
عضوی 12,27,52,7
عضویت 43
عطار 27
عطرهای 18
عظیم 15,8
عظیمی 53,56
عفونت 28,28,28,28,28,28,28,28,28,28,28,28,30,30,33,33,33,33,33,33,7
عفونی 10,12,15,19,20,20,20,20,25,27,30,30,30,30,36,46,53,53,7,7,7,7
عقاید 15,15,24
عقیده 13,28,53
علائم 10,12,19,2,26,26,26,28,28,28,28,28,28,7,7,7,7,7,9,9
علامت 10,15,28,28,28,28,28,28,28,9
علامتی 1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,7,8,9
علاوه 11,11,14,16,16,18,21,23,28,28,28,35,35,36,42,48,56,57,58,60,9,9
علایم 28,28,28,28,28,28,28,28,28,28,28,28,28,28,53,53,53,53
عللی 59
علمي 46
علمی 10,15,16,25,28,28,28,28,28,28,28,31,32,35,35,43,50,50,52,52,52,53,53
علوم 10,14,15,15,15,15,15,15,16,16,16,16,19,19,20,25,25,25,27,28,28,28,28,28,35,4,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
علّت 18,18,18,18,18,18,18,18
علیرضا 28
علیه 28,28,28,38,38,38,38,38,43,43,47,47,47,47,53,57,57,57
عمدتا 35
عمدتاً 49,8,8
عمده 23,25,27,28,35,50,57,57,57,57,58
عمرشان 28
عمری 28,28
عملکرد 11,12,23,23,28,28,28,28,28,28,28,28,28,28,28,35,35,40,40,41,51,53,53,53,53,53,53,53,53,7,7,8,8,8,8,8
عملکردشان 53
عملی 27,27,27,6
عملیات 26,60
عملیاتش 58
عملیاتی 52
عمودی 20,41
عموماً 2,38,57,8,8,8
عمومی 11,11,11,11,11,11,11,11,11,11,11,16,16,16,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,20,21,21,23,23,25,25,26,27,27,27,27,27,27,27,27,27,28,31,33,33,34,35,4,40,43,5,50,50,50,50,52,53,53,53,53,53,53,53,53,53,53,6,6,6,6,6,6,6,9
عمومیِ 18
عمیق 58
عناوین 25
عنبیه 20
عنصر 23
عنوان 10,10,11,11,11,11,11,12,12,15,15,16,18,18,18,20,20,20,23,23,23,25,25,25,25,25,25,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,32,33,35,35,43,43,49,5,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,57,57,57,57,57,57,57,58,58,58,58,7,7,7,7,7,8,8,9,9
عنکبوتیان 20
عهده 12,15,25,25,28,35,49,52,53,53,58
عهدهٔ 27
عوارض 15,23,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,35,53
عوارضی 11,16
عوامل 1,10,11,11,13,13,16,23,23,28,28,28,28,28,28,28,30,30,35,36,37,44,57,60,7,7,7,7,9,9
عواملی 16
عورت 6
عیادت 33
عیوب 44,44
غازی 38
غالب 15,28,49,58
غالباً 28,57
غایط 6
غبار 51,51,60,60,60,60,60,60
غبارساز 60
غباری 51
غذائی 41
غذاخوردن 16
غذاهای 10,10,16,24,24,24,24,28,31,60,60,9,9
غذاهایی 24,24,44
غذای 12,16,16,24,7
غذایی 10,10,10,11,11,11,11,11,16,16,16,16,16,16,16,16,16,16,18,18,18,20,23,24,24,24,24,24,24,24,24,24,24,25,25,28,28,28,28,28,28,28,28,28,28,28,30,30,31,33,33,49,56,58,58,58,58,60,60,9,9,9,9,9,9
غربال 31
غربالگری 28,28,28,28,28,31,31,31,35,35,35,42,42,42,44,44,53,53
غربی 18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,28,50,50,52,53,53
غشای 30,7
غقده 20
غلات 28,28
غلاف 10
غلافی 20
غلامی 49,49
غلبه 33,35
غلظت 28,28,30,9
غلظتهای 30,30,30
غواصان 54
غوطه 2
غیاب 58
غیرارادی 13,6,7
غیرانتفاعی 1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,57,57,58,59,6,60,7,8,9
غیرتروماتیک 28
غیرتهاجمی 28
غیررسمی 60
غیرفعال 30,36,36,36
غیرقابل 23,28,58
غیرقانونی 58,58
غیرمادی 51
غیرمستقیم 16,19,28
غیرمعمول 28,53,53
غیرممکن 30
غیره 17,21,24,24,29,30,30,35,53
غیرهوشمند 8,8,8
غیرو 33
فارسی 12,30,35,41,53,53,6,60,8
فارغ 25
فارماکولوژی 25
فارمر 17,18,26,34,6
فاصله 16,18,20,46,53
فاصلهٔ 17,18,18
فاضلاب 11,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,26,26,34,34,50,58,6,6
فاقد 20,28,28,39,39,39,53
فامیل 53
فامیلی 35
فاکتور 28,28,28,28,28,28,28,28,28,28,28,28,28,28,37
فاکتورهای 28,28,28,28,28,28,28,28,28,28,28,28,28,31,53
فایبروزیس 45
فایده 53
فایل 53
فدرال 50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
فدرالیست 50
فرآیندی 53
فراتر 53
فراخوانی 23
فرادی 28
فراموش 18,28,30,31
فراموشی 60
فرانسه 25,27,27,27
فرانسوی 24,27,50
فرانسیس 15,53
فراهم 11,18,18,2,22,25,28,30,31,33,34,34,46,53,53,53,57
فراوان 17,28
فراوانی 11,16,23,25,25,28,28,56,60,60
فراورده 23,28
فراوردهٔ 23,60
فراگذر 10,10
فراگیر 13,13,13,53
فراگیرتر 17
فراگیرند 53
فراگیری 18,60
فرایند 28,30,42,42,57,57,58,58,58,58,58,58,58,58,58,58,58,60
فرایندهای 53
فرایندهایی 1
فرایندی 30,53,58
فرجام 28
فرخنده 21
فردای 18
فردِ 18
فردی 11,11,11,11,11,11,11,22,25,28,28,31,35,35,5,52,52,7,8
فرزند 42,49
فرزندان 31,31,49
فرزندی 42
فرسایش 58,58
فرستادن 57
فرستاده 42
فرصت 10,33,43
فرضیه 28,53
فرعی 16
فرمان 34
فرمانداران 15
فرمانده 15
فرماندهی 25
فرمول 23
فرمولاسیون 23,23,23,23
فرنگی 17,17,17,17,17,17,18,26,26,34,34
فرهنگ 15,18,18,18,21,21,24,24,24,28,28,28,43,43,43,44,48
فرهنگستان 22,28,35,43,44,59,6,8
فرهنگی 18,21,39,43,50,50,57
فروتن 15
فروخته 23,57
فروردین 53
فروش 1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,57,57,57,57,57,57
فروشی 57
فروکتوز 28,28,28,28,28,28,28
فرکانس 11,16,53
فریبا 53
فریدون 33
فریضه 25
فرینز 13
فزاینده 28
فساد 15
فسفات 23,23
فسفر 58
فسفوریلاسیون 28
فسیل 15
فسیلی 60
فشار 17,17,18,18,18,18,18,18,18,18,18,18,2,28,28,28,28,28,28,28,30,31,31,31,41,52,58,6,7
فشارخون 31,9
فشارهای 2
فشاری 41
فشانی 32
فشردن 23
فشردگی 58,8
فضاهای 18,21,21,22
فضاهایی 21
فضای 17,17,18,18,21,21,21,21,21,56,57,58,9
فضایی 21,21,57,57
فضولات 11,18,18,18,18,18,18,18,32
فعال 16,18,23,23,23,23,25,36,53,58,60,8,8
فعالند 58
فعالیت 12,16,16,16,18,18,2,28,28,30,35,35,53,58,58
فعالیتهای 16,30
فعالیتی 20
فعلاً 56
فعلی 28
فقدان 31
فقرا 53
فقرات 44
فقهی 49
فلاحت 25
فلاش 18,18,18,18,18,18,18,18,18,18,18,34
فلاشینگ 18
فلانی 32
فلزات 30,56,8
فلزاتی 30
فلزی 33,8,9
فلفل 28
فلمینگ 53
فلوئوردار 2
فلوراید 23,23,23,23,23,41,41
فلورسنس 12
فلوریدای 57
فلوشیپی 53
فناوری 11,11,11,15,15,15,15,15,16,16,16,16,16,16,18,18,18,18,18,18,18,25,28,28,50,53,53,53,53,53,53,53,53,53,53,53,8
فنلاند 28
فنون 58
فهرست 46,53,53,53,53
فهرست_روبانهای_آگاهیدهنده 38
فهرستی 53,57
فوارهٔ 18,18
فواصل 21,46
فواید 18,23,28,28,28,28,28,41
فوایدی 28,28,28,28,28,28
فوران 18,18,18,18,60
فورانِ 18
فوراً 44
فوری 33
فوریه 11,11,30,38,41,56,56,8
فوریهٔ 38
فوقانی 7
فولات 44
فولاد 8,8,8
فولیک 44,44,44
فونکسیونل 30
فوکین 55
فکری 16,31,43,7
فیبر 8,9
فیبرهای 6
فیبروزیس 33
فیبرینی 12
فیتینگ 35,35,35
فیثاغورث 25
فیروز 21
فیروزه 33
فیزیوتراپیست 53
فیزیولوژی 15,16,16,28,53,53,53,53,53,53,6
فیزیولوژیک 16,35
فیزیولوژیکی 53,57
فیزیوپاتولوژی 53
فیزیک 53
فیزیکی 1,11,12,15,15,16,16,16,18,2,23,27,27,28,35,53,53,53,57,7,8
فیشر 53
فیلتر 30,30,30
فیلتراسیون 1,30,30
فیلترهای 30
فیلترهایی 30
فیلد 53
فیلسوف 15,53
قائل 12
قائمه 17
قابل 1,1,1,10,11,11,12,13,13,14,14,14,14,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,19,19,2,2,20,21,22,22,23,23,24,24,24,25,25,25,25,26,26,26,27,28,28,28,28,28,28,28,28,28,28,28,29,3,3,3,30,30,31,31,31,31,32,33,34,34,34,35,35,36,36,37,37,38,39,4,40,40,41,41,42,42,42,43,43,44,44,44,44,45,46,46,47,47,47,48,48,49,49,49,5,50,50,51,51,52,52,53,53,53,53,53,53,53,53,53,53,54,54,54,55,56,57,57,57,57,57,57,58,58,58,58,59,59,6,6,6,6,60,7,7,8,8,8,8,9,9
قابلیت 18,19,23,23,32,54,57,57,58,8,8
قادر 16,18,25,28,30,31,54,54,57,57,58,9
قارچ 10,28,58,58,58
قارچی 10,10,10,10,10
قاشق 28,9,9
قاطع 28
قاعده 20
قاعدگی 31,47,57
قانع 15
قانقاریای 53
قانون 15,15,25,25,25,43,43,43,50,53,53,53,57
قانونمند 53
قانونمندسازی 53
قانونچه 12
قانونی 12,14,14,43,43,50,53,53,53,53,53,53,53,53,57
قایل 28,53
قبلاً 28,28,28,53,53,57
قبلی 28,28,53
قبول 53
قبولی 16,27,31,53
قبیل 14,30,31
قبیله 53
قدرت 11,15,16,16,16,23,28,41,58
قدری 13
قدمت 15
قدیم 17,21,21,21,21,25,28,53,53,6
قدیمی 15,18,18,18,21,21,28,30,34
قرار 11,11,11,11,15,15,15,15,16,16,16,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,22,23,23,23,24,25,25,25,25,25,25,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,33,34,35,35,36,36,36,39,46,46,46,47,47,47,49,53,53,53,53,53,53,53,53,54,56,57,57,57,57,57,58,58,58,58,6,6,8,8
قرارا 46
قرارداد 52,52
قراردادی 53
قرارگرفته 20
قرارگیری 17
قربانی 15,28,28,55,55,55
قرقاول 24
قرمز 20,20,28,33,36,50,54
قرمزرنگ 10
قرمزی 28
قرنیه 20
قرون 15,15,15,15,16,21,24,27,53,53,53,54
قزوین 32,32,56
قسمت 18,20,20,20,20,20,20,20,30,41,46,54,54,54,8
قسمتی 11,20
قصور 53,53,53,53
قضاوت 53,53,53,53
قضایی 53
قطار 18,18,18
قطره 10,6
قطعات 42,51,8,8
قطعاتی 20
قطعاً 28
قطعه 8
قطعی 28,28,28,46,53
قطور 34
قفسه 53
قفقازی 24
قلبی 12,14,17,28,28,28,28,28,28,28,28,28,28,28,28,28,28,31,31,31,37,7
قلعهٔ 11
قلمرو 21
قلوه 24
قلیان 14
قلیایی 23
قنداق 54,54,54
قندخون 28,28
قنددار 10,28
قندهای 24,28,28,28
قندی 24,24,28,30
قوانین 11,15,15,15,15,15,18,18,43,53,53,53,53,57
قوزک 28
قویتری 15,28
قیاسی 53
قیفی 60
قیمت 18,23,57,8
قیمه 24
لائوس 6
لابراتواری 27
لابلای 9
لاتکس 57,57,57,57,57,57,57,57,57
لاتین 15,58
لارو 20,20
لاریجان 56
لازم 15,16,16,16,16,17,23,28,28,28,28,28,30,30,30,34,42,42,53,53,53,53,53,53,54,57
لازمست 28
لازمه 53
لازمهٔ 11
لاستیک 57,57,57,57,57,57,57,57
لاستیکی 57,57,57
لاغرتر 28
لاغری 16
لالالین 33
لامسه 53
لامپ 49
لامینا 44
لاندن 23
لانگرهانس 10,28
لاکتاز 7
لاکتوباسیلوس 9
لاکتوز 33,33,7,7
لاکتیک 16
لایحه 43,43
لایه 20,30,32,57
لایهٔ 11,23,23
لایپزیک 25
لباس 11,11,15,18,21,47,47,49,54
لباسی 8
لبریز 6
لبنیات 60
لبهٔ 18
